YR_EST,LAT_DEG,LONG_DEG,ELEV,PostOffice,State,County,DateEstablished,DateDiscontinued,ZipCode
1639,42.3584308,-71.0597732,14,BOSTON,MA,SUFFOLK COUNTY,11/05/1639,,2205
1727,38.9784453,-76.4921829,13,ANNAPOLIS,MD,ANNE ARUNDEL COUNTY,00/00/1727,,21401
1738,37.2707022,-76.7074571,25,WILLIAMSBURG,VA,INDEPENDENT CITY,00/00/1738,,23185
1754,41.8239891,-71.4128343,2,PROVIDENCE,RI,PROVIDENCE COUNTY,00/00/1754,,2904
1759,42.6525793,-73.7562317,45,ALBANY,NY,ALBANY COUNTY,00/00/1759,,12288
1764,43.661471,-70.2553259,19,PORTLAND,ME,CUMBERLAND COUNTY,01/05/1764,,4101
1765,41.3775996,-71.8272911,11,WESTERLY,RI,WASHINGTON COUNTY,00/00/1765,,2891
1772,41.3556539,-72.0995209,17,NEW LONDON,CT,NEW LONDON COUNTY,00/00/1772,,6320
1773,42.6792602,-70.8411612,8,IPSWICH,MA,ESSEX COUNTY,00/00/1773,,1938
1773,39.952335,-75.163789,12,PHILADELPHIA,PA,PHILADELPHIA COUNTY,00/00/1773,,19104
1773,42.500096,-70.8578253,18,MARBLEHEAD,MA,ESSEX COUNTY,07/05/1773,,1945
1773,43.0717552,-70.7625532,6,PORTSMOUTH,NH,ROCKINGHAM COUNTY,10/00/1773,,3801
1773,32.7765656,-79.9309216,6,CHARLESTON,SC,CHARLESTON COUNTY,11/00/1773,,29423
1774,36.057938,-76.6077213,3,EDENTON,NC,CHOWAN COUNTY,00/00/1774,,27932
1774,37.0298687,-76.3452218,1,HAMPTON,VA,INDEPENDENT CITY,05/00/1774,,23670
1775,42.1014831,-72.589811,25,SPRINGFIELD,MA,HAMPDEN COUNTY,00/00/1775,,1101
1775,42.2625932,-71.8022934,147,WORCESTER,MA,WORCESTER COUNTY,00/00/1775,,1613
1775,38.8048356,-77.0469214,11,ALEXANDRIA,VA,INDEPENDENT CITY,05/08/1775,,22313
1775,39.2903848,-76.6121893,10,BALTIMORE,MD,INDEPENDENT CITY,05/08/1775,,21202
1775,38.5676202,-77.3280382,11,DUMFRIES,VA,PRINCE WILLIAM COUNTY,05/08/1775,,22026
1775,41.1412078,-73.2637258,10,FAIRFIELD,CT,FAIRFIELD COUNTY,05/08/1775,,6430
1775,37.8929082,-79.4378166,376,FREDERICKSBURG,VA,INDEPENDENT CITY,05/08/1775,,22401
1775,38.9048338,-77.0624775,19,GEORGETOWN,DC,,05/08/1775,12/24/1877,
1775,41.7637111,-72.6850932,18,HARTFORD,CT,HARTFORD COUNTY,05/08/1775,,6101
1775,41.5623209,-72.6506488,12,MIDDLETOWN,CT,MIDDLESEX COUNTY,05/08/1775,,6457
1775,41.0534302,-73.5387341,7,STAMFORD,CT,FAIRFIELD COUNTY,05/08/1775,,6904
1775,40.2170534,-74.7429385,18,TRENTON,NJ,MERCER COUNTY,05/08/1775,,8650
1775,39.7459467,-75.5465889,28,WILMINGTON,DE,NEW CASTLE COUNTY,05/08/1775,,19850
1776,38.9392779,-76.9338631,15,BLADENSBURG,MD,PRINCE GEORGES COUNTY,01/05/1776,,20710
1776,40.1006661,-74.8518311,6,BRISTOL,PA,BUCKS COUNTY,01/05/1776,,19007
1776,40.0378755,-76.3055144,110,LANCASTER,PA,LANCASTER COUNTY,04/05/1776,,17604
1777,41.5356492,-73.8990252,67,FISHKILL,NY,DUTCHESS COUNTY,02/27/1777,,12524
1777,40.7967667,-74.4815438,110,MORRISTOWN,NJ,MORRIS COUNTY,03/06/1777,,7960
1782,,,,NORWICH TOWN,CT,NEW LONDON COUNTY,00/00/1782,3/31/07,
